sample_id,escenario,vehicle_type,is_autonomous,gnss_speed_kmh,gnss_ramp_grade,lidar_obstacle_dist_m,lidar_visibility_index,op_perclos_score,turno_horas_acumuladas,op_steering_jerk_stddev,op_harsh_braking_count,ttc_raw_sec,effective_ttc_sec,collision_risk_label
DSTM-00001,D,CAT_797F_MANUAL,0,30.38,9.54,43.61,0.233,0.096,5.2,7.08,0,5.37,3.26,1
DSTM-00002,B,PALA_PH_4100XPC,0,0.0,2.07,73.76,0.863,0.241,10.2,3.53,2,142.32,140.37,0
DSTM-00003,E,KOMATSU_930E_AHS,1,25.04,8.05,175.79,0.794,0.06,12.8,0.15,0,24.58,24.11,0
DSTM-00004,D,CAT_797F_MANUAL,0,38.84,8.69,16.41,0.5,0.118,5.2,6.87,0,1.2,-0.75,1
DSTM-00005,A,CAMIONETA_4x4,0,57.4,11.3,191.99,0.562,0.172,7.3,5.43,1,12.69,10.51,0
DSTM-00006,E,KOMATSU_930E_AHS,1,26.39,8.2,115.94,0.822,0.02,7.0,0.15,0,16.33,15.9,0
DSTM-00007,D,CAT_797F_MANUAL,0,36.73,11.01,17.03,0.336,0.035,4.7,4.53,2,1.94,0.07,1
DSTM-00008,D,CAMIONETA_4x4,0,34.5,8.41,15.78,0.587,0.109,4.8,1.82,3,1.97,0.18,1
DSTM-00009,A,CAT_797F_MANUAL,0,30.95,13.34,39.97,0.574,0.138,7.4,3.08,0,3.78,1.51,1
DSTM-00010,C,CAMIONETA_4x4,0,43.05,7.38,17.58,0.881,0.229,10.0,3.95,0,1.18,-0.65,1
DSTM-00011,B,CAMIONETA_4x4,0,32.17,3.19,25.94,0.787,0.04,1.4,1.28,2,2.23,0.83,1
DSTM-00012,E,CAMIONETA_4x4,0,33.15,5.31,50.72,0.881,0.06,6.0,5.42,0,4.99,3.49,1
DSTM-00013,C,CAT_797F_MANUAL,0,20.12,10.17,82.61,1.0,0.219,10.8,0.3,0,12.97,11.03,0
DSTM-00014,D,CAT_797F_MANUAL,0,25.76,8.75,80.77,0.207,0.147,6.3,2.58,1,10.47,8.38,0
DSTM-00015,B,PALA_PH_4100XPC,0,0.0,1.89,2.0,0.868,0.108,2.3,2.1,2,9.77,8.2,1
