condition,scenario,n_test,recall_indep,specificity_indep,precision_indep,f1_indep,auc_roc_indep,recall_nominal,precision_nominal,f1_nominal,auc_roc_nominal,tp_indep,fp_indep,fn_indep,tn_indep
Baseline (0%),A,1287,1.0,0.7506,0.6997,0.8233,0.98,0.9155,0.9941,0.9532,0.9969,473,203,0,611
Baseline (0%),B,997,1.0,0.385,0.3669,0.5369,0.8898,1.0,0.5826,0.7363,0.8995,262,452,0,283
Baseline (0%),C,999,1.0,0.6902,0.673,0.8046,0.9739,0.979,0.9689,0.9739,0.9959,389,189,0,421
Baseline (0%),D,972,1.0,0.6513,0.6548,0.7914,0.9463,0.9827,0.9594,0.9709,0.9952,387,204,0,381
Baseline (0%),E,745,1.0,0.7431,0.6937,0.8191,0.9625,0.9841,0.9418,0.9625,0.9925,274,121,0,350
Baseline (0%),PROMEDIO_MACRO,5000,1.0,0.644,0.6176,0.7551,0.9505,0.9723,0.8894,0.9194,0.976,1785,1169,0,2046
Noise 2%,A,1287,0.9979,0.758,0.7055,0.8266,0.9744,0.9046,0.9925,0.9465,0.9935,472,197,1,617
Noise 2%,B,997,1.0,0.3755,0.3634,0.5331,0.8997,1.0,0.577,0.7318,0.9041,262,459,0,276
Noise 2%,C,999,1.0,0.6689,0.6582,0.7939,0.9557,0.979,0.9475,0.963,0.9937,389,202,0,408
Noise 2%,D,972,1.0,0.6496,0.6537,0.7906,0.9395,0.9775,0.9527,0.9649,0.993,387,205,0,380
Noise 2%,E,745,1.0,0.7389,0.6902,0.8167,0.9543,0.9656,0.9194,0.9419,0.985,274,123,0,348
Noise 2%,PROMEDIO_MACRO,5000,0.9996,0.6382,0.6142,0.7522,0.9447,0.9653,0.8778,0.9096,0.9739,1784,1186,1,2029
Noise 5%,A,1287,0.9852,0.7543,0.6997,0.8183,0.9623,0.8842,0.9745,0.9271,0.9863,466,200,7,614
Noise 5%,B,997,0.9847,0.3837,0.3629,0.5303,0.8603,0.9784,0.5724,0.7223,0.8524,258,453,4,282
Noise 5%,C,999,0.9923,0.6607,0.6509,0.7862,0.9354,0.9476,0.914,0.9305,0.9779,386,207,3,403
Noise 5%,D,972,1.0,0.6,0.6232,0.7679,0.911,0.9671,0.8986,0.9316,0.9771,387,234,0,351
Noise 5%,E,745,0.9818,0.7325,0.681,0.8042,0.9303,0.9206,0.881,0.9004,0.9595,269,126,5,345
Noise 5%,PROMEDIO_MACRO,5000,0.9888,0.6262,0.6035,0.7414,0.9199,0.9396,0.8481,0.8824,0.9506,1766,1220,19,1995
Noise 10%,A,1287,0.9493,0.7076,0.6536,0.7741,0.9229,0.8692,0.9287,0.898,0.9588,449,238,24,576
Noise 10%,B,997,0.9313,0.3905,0.3526,0.5115,0.8125,0.9038,0.5434,0.6787,0.7939,244,448,18,287
Noise 10%,C,999,0.9563,0.6049,0.6069,0.7425,0.8814,0.9178,0.8564,0.8861,0.9288,372,241,17,369
Noise 10%,D,972,0.9612,0.5744,0.599,0.7381,0.8626,0.9237,0.8583,0.8898,0.9278,372,249,15,336
Noise 10%,E,745,0.9051,0.7155,0.6492,0.7561,0.8913,0.8492,0.8403,0.8447,0.911,248,134,26,337
Noise 10%,PROMEDIO_MACRO,5000,0.9406,0.5986,0.5723,0.7045,0.8741,0.8927,0.8054,0.8395,0.9041,1685,1310,100,1905
Dropout LiDAR,A,1287,0.9852,0.6916,0.6499,0.7832,0.9405,0.9278,0.9498,0.9387,0.9643,466,251,7,563
Dropout LiDAR,B,997,0.9771,0.4068,0.3699,0.5367,0.9,0.9615,0.578,0.722,0.8961,256,436,6,299
Dropout LiDAR,C,999,0.982,0.6623,0.6497,0.782,0.9333,0.9528,0.9269,0.9397,0.9598,382,206,7,404
Dropout LiDAR,D,972,0.9638,0.6205,0.6269,0.7597,0.8929,0.948,0.9193,0.9334,0.9453,373,222,14,363
Dropout LiDAR,E,745,0.9781,0.7113,0.6634,0.7906,0.9192,0.9603,0.8985,0.9284,0.9603,268,136,6,335
Dropout LiDAR,PROMEDIO_MACRO,5000,0.9772,0.6185,0.592,0.7304,0.9172,0.9501,0.8545,0.8924,0.9452,1745,1251,40,1964
Combined (10%+Drop),A,1287,0.9387,0.6671,0.621,0.7475,0.8861,0.861,0.8839,0.8723,0.9176,444,271,29,543
Combined (10%+Drop),B,997,0.9122,0.4041,0.353,0.5091,0.7896,0.8654,0.5318,0.6587,0.7666,239,438,23,297
Combined (10%+Drop),C,999,0.9409,0.5984,0.599,0.732,0.8504,0.8934,0.8363,0.8639,0.8969,366,245,23,365
Combined (10%+Drop),D,972,0.9199,0.535,0.5669,0.7015,0.7958,0.8943,0.8217,0.8564,0.8737,356,272,31,313
Combined (10%+Drop),E,745,0.8978,0.6879,0.626,0.7376,0.8507,0.8413,0.8092,0.8249,0.8845,246,147,28,324
Combined (10%+Drop),PROMEDIO_MACRO,5000,0.9219,0.5785,0.5532,0.6855,0.8345,0.8711,0.7766,0.8152,0.8679,1651,1373,134,1842
