condition,model,auc_roc,delta_auc_roc,auc_pr,delta_auc_pr,recall,delta_recall,precision,delta_precision,f1,delta_f1,accuracy,delta_accuracy
Baseline (0%),Random Forest,0.9938,0.0,0.9948,0.0,0.9634,0.0,0.9641,0.0,0.9638,0.0,0.9612,0.0
Baseline (0%),Gradient Boosting,0.9943,0.0,0.9952,0.0,0.9671,0.0,0.965,0.0,0.966,0.0,0.9636,0.0
Noise 2%,Random Forest,0.9881,-0.0058,0.9899,-0.0048,0.9384,-0.025,0.9461,-0.018,0.9422,-0.0215,0.9384,-0.0228
Noise 2%,Gradient Boosting,0.9891,-0.0051,0.9908,-0.0044,0.9425,-0.0247,0.9467,-0.0182,0.9446,-0.0215,0.9408,-0.0228
Noise 5%,Random Forest,0.9694,-0.0245,0.9741,-0.0206,0.9044,-0.059,0.9129,-0.0512,0.9086,-0.0551,0.9026,-0.0586
Noise 5%,Gradient Boosting,0.9692,-0.025,0.974,-0.0213,0.9107,-0.0564,0.903,-0.062,0.9068,-0.0592,0.8998,-0.0638
Noise 10%,Random Forest,0.9214,-0.0724,0.9303,-0.0644,0.851,-0.1124,0.8522,-0.1119,0.8516,-0.1122,0.8412,-0.12
Noise 10%,Gradient Boosting,0.9211,-0.0732,0.9307,-0.0646,0.8629,-0.1042,0.8443,-0.1207,0.8535,-0.1125,0.8414,-0.1222
Dropout LiDAR,Random Forest,0.9599,-0.0339,0.9504,-0.0444,0.9387,-0.0247,0.9256,-0.0385,0.9321,-0.0316,0.9268,-0.0344
Dropout LiDAR,Gradient Boosting,0.9604,-0.0338,0.951,-0.0443,0.9402,-0.0269,0.9298,-0.0352,0.935,-0.0311,0.93,-0.0336
Combined (10%+Drop),Random Forest,0.891,-0.1028,0.8883,-0.1064,0.8338,-0.1296,0.8288,-0.1353,0.8313,-0.1325,0.8188,-0.1424
Combined (10%+Drop),Gradient Boosting,0.8897,-0.1045,0.8869,-0.1084,0.8468,-0.1203,0.8193,-0.1457,0.8328,-0.1332,0.818,-0.1456
